mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.9437936941782634,0.06348758863606384,0.02843928337097168,0.0008102659532316685,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.8808309584520774,0.8823970599264982,0.8768469211730293,0.880024979850535,0.002336409093073881,1
3.688067595163981,0.06363428909611975,0.0502018133799235,0.007110324005779847,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.8796310184490775,0.8806720168004201,0.8769219230480763,0.8790749860991912,0.001580649606634782,2
7.478919267654419,0.03345493903824608,0.09316364924112956,0.002557083193478899,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.8778311084445778,0.8805970149253731,0.8775969399234981,0.8786750210978164,0.0013624130379443118,3
1.896866242090861,0.01860587733946386,0.035719076792399086,0.008645931424206672,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.8762561871906405,0.8780469511737794,0.8738468461711543,0.8760499948451913,0.0017208732222838716,4
3.7863636016845703,0.08808025544432939,0.07335670789082845,0.007287100236821779,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.876031198440078,0.8767719192979825,0.8735468386709667,0.8754499854696758,0.0013792854793723188,5
7.69196089108785,0.22902847836048856,0.14821402231852213,0.05808232213038885,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.8743062846857658,0.8761719042976075,0.8748218705467636,0.8751000198433788,0.0007866212165236934,6
1.8266489505767822,0.10552752670069493,0.05434044202168783,0.02488325647374204,,10,50,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",0.8675566221688915,0.8682217055426386,0.8633465836645916,0.8663749704587073,0.002158537916366708,12
3.8259830474853516,0.08244045017252616,0.05593434969584147,0.0010227299355166303,,10,100,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.8668816559172041,0.867321683042076,0.8656716417910447,0.8666249935834416,0.0006976463754202612,11
7.631762981414795,0.1742735078545043,0.08845233917236328,0.00610425716418029,,10,200,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",0.8661316934153293,0.8680717017925448,0.866721668041701,0.8669750210831917,0.0008120135256020607,10
1.0767449537913005,0.04141150046630016,0.015871604283650715,0.0006249066128656527,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.7115644217789111,0.6508662716567915,0.664441611040276,0.6756241014919929,0.026010926250185678,24
